
――もうすぐ帝国につくぞ。\nそろそろ降りる準備でもしておけ。	——马上就要到帝国了哟。\n差不多该准备下船了。
まさかその者がアイギスの神器保有者とは。\n全くあの時気付いていれば……私としたことが\n何という無知、何という無恥な事だ。	这位竟然是Aigis神器的持有者。\n当时要是注意到的话……对我来说这是\n何等无知，何等无耻的事啊。
……相変わらず何を考えているか判らん奴め。\n一応紹介しておく、こいつはメフィスト。\n白の帝国で黒の軍団を束ねている……魔神だ。	……真是和往常一样不知道在想什么的家伙。\n总之介绍一下，这位是梅菲斯特。\n在白之帝国统领黑之军团的……魔神。
我が名はメフィスト、真理を追い求める魔神。\n知識の探究の道にあり、物質界での拠り所も\n必要であったのでな。今はここに身を寄せている。	我叫梅菲斯特，是追求真理的魔神。\n在探求知识的路上，物质界的居所也是必要的。所以我现在借住于此。
まさかアダマスだけでなくアイギスの神器の担い手にも\nこうして出会えようとは……この薬にしてもそうだが、\n物質界とはやはりまだまだ未知に満ち溢れているな。	不光是アダマス，就连Aigis的神器持有者\n都能像这样见到……包括这个药也是，\n物质界仍充盈着未知啊。
この薬……その手に持っている瓶の事でしょうか？	那个药……是指你手里拿着的瓶子么？
先ほど軍の研究者から受け取ったものだ。\n魔物に飲ませると力が増強する薬との事だが……\nレオナ、何故このような物を開発していた事を言わん。	从刚才军队的研究员手里拿到的。\n虽说给魔物喝了会增强力量……\n蕾欧娜，告诉我为什么要开发这种东西。
……なんだその薬は？　\nそんな薬私は知ら……待て、\n瓶が既に空なのは、貴様まさか……。	……什么啊，那个药？ \n我不知道那种东……等下，\n瓶子已经是空的了，难道说你……。
――ギャギャーッ！！	——嘎嘎嘎—！！
め、メフィストー！　あなたからもらった薬、\n魔物に与えたら、なんか暴走しちゃったんだけど！\nってちょっと待って、だ、誰か助けてー！	梅，梅菲斯特！你把刚才拿到的药\n给魔物之后，那些魔物不知为何开始暴走了！\n等，等下，谁，谁来救救我—！
なるほど、そういう事象に行き付くか。\nこれは中々興味深い結果だな。	原来如此，会产生这样的现象么。\n这真是令人感兴趣的结果啊。
ばかもん！　冷静に分析している場合か！	笨蛋！ 这是能冷静分析的时候么！？
あわわわ……こ、これは一体\n何事でございましょうか！？	啊哇哇哇……到，到底\n发生了什么事啊！？
ベラートか、すまんが事情を\n細かに説明している暇はない！\n急ぎ戦える者をこちらに寄越せ！	ベラート么？很抱歉现在\n没有详细说明的空闲！\n赶紧让能战斗的人过来！
わ、わかりました。至急各部隊長に連絡を行いましょう！　\n……それにしても、他国の王子殿下が\n我が国においでの時にこの様な事がおこるとは。	我，我知道了。赶紧联络各部队队长！ \n……说起来，他国王子访问我国的时候竟然发生了这种事。
ささっ、ここは危険です。\n王子殿下はこちらへ避難を……。	来来，这边很危险。\n王子殿下请到这边来避难……。
……いえ、私達も協力致します！　\n王子、魔物に襲われている女性もいるようです。\n急ぎ助け出しましょう！	……不，我们也来帮忙！ \n王子，好像有被魔物袭击的女性。\n快去帮助她吧！
はぁ……はぁ……大変な目にあったわ。	哈啊……哈啊……真是不得了啊。
ご、ご無事ですか皆様。	各，各位还好么？
あぁ、なんとかな……メフィスト、ヘルミーネ！\nいつも言ってるだろう、何かの実験をする前には\nしかるべき手順を踏み許可を取れと！	啊，怎么说呢……梅菲斯特，ヘルミーネ！\n我说过多少次了，不管进行什么实验，事前\n都要严格遵守程序获得许可！
ちょ、ちょっと待ってよ！　メフィストは\n投与の許可は取ってあるって言ってたわよ？	等，等等等下啊！ 梅菲斯特说过已经得到了许可了吧？
……む？　私に薬をよこした研究者からは、\n投与して問題ない薬だと聞いていたが。\n確か資料も……これだな。	……嗯？给我药的研究员跟我\n，这是可以投放的药。\n资料应该也……就是这个。
これは……確かに、使用を\n正式に受理した書類のようだが……そもそも\nこのような物の開発、私の耳には届いていないぞ。	这是……这确实是正式受理的材料但……\n不管怎么说，这种东西的开发\n我从来没听说过啊。
何か手違いでもあったのでしょうか？	难道中间出了什么纰漏么？
確かにその可能性もありえはしますが。\nですが、もしかしたら……。	确实有这种可能。\n但是，难道说……。
帝国を厄介に思う誰かしらが仕組んだ、\n罠って可能性もあるわね。	想要给帝国惹麻烦的什么人的操作，\n也就是陷阱的可能性也是有的。
……もしそうであるならば愚かな事だ。帝国に仇なし\nタダで済むと思っているのなら、それが\nいかに甘い考えであるかを思い知らせてやろう。	……如果真是这样那真是太愚蠢了。\n我会让他知道认为这事\n会就这么过去是多么天真的想法。
……っと、すまんな王子。帝国について\n早々面倒な事に巻き込んでしまった。	……啊，对不起啊王子。刚到帝国\n就被卷进这么麻烦的事里来。
いえ、お気になさらないでください。それよりも、\n何かありましたら我々も協力は惜しみませんが。	不不，请别在意。比起那些，\n如果有什么事我们会倾囊相助的。
結構だ。これは帝国内の問題、\n他国からの客人に頼っては帝国の面子が立たん。\n……だが、気持ちだけは頂いておこう。	不用了。这是帝国内的问题，\n依靠别国来的客人会让帝国的面子站不住的。\n……但是你的心意我领了。
それでは、私はここで失礼する。此度の原因を\n調べねばならないのでな。すぐ迎えのものを寄越す、\n滞在中は国の中でもみてゆっくりしていくと良い。	那么，我先走一步。\n我得好好的调查一下这次事件的原因。\n迎接你们的人马上就来，\n停留期间请好好的逛一逛我们国家。
