
20％の確率で攻撃後の\n硬直なしで次の攻撃を出す	20％的几率无视攻击后摇
出撃メンバーにいるだけで\n全近接系ユニットの魔法耐性+10	只要在编队中就会生效\n全近战单位的魔法耐性+10
10％の確率で攻撃力が\n3倍に上昇。アンデッド系\nへの攻撃時は100％発動	攻击时有10％的几率触发3倍的暴击\n敌人是不死系时必定发动暴击
出撃メンバーにいるだけで\n月姫カグヤの出撃コスト-2\n攻撃、防御が5％上昇	只要在编队中就会生效\n月姬的出击COST-2\n攻击、防御上升5％
出撃メンバーにいるだけで\n全員の攻撃力が7％上昇	只要在编队中就会生效\n全员的攻击力上升7％
敵の物理攻撃を回避する\n確率が25％上昇	回避物理攻击的几率上升25％
出撃メンバーにいるだけで\n月姫カグヤの出撃コスト-2\n攻撃、防御が10％上昇	只要在编队中就会生效\n月姬的出击COST-2\n攻击、防御上升10％
妖怪に対する攻撃力が\n1.3倍になる	对妖怪的攻击力增加1.3倍
妖怪に対する攻撃力が\n1.4倍になる	对妖怪的攻击力增加1.4倍
出撃メンバーにいるだけで\n竜族（ドラゴンライダー系含）の\nHPと防御が5％上昇	只要在编队中就会生效\n全龙族（包括龙骑）的\nHP、防御上升5％
魔法耐性+20	魔法耐性+20
出撃メンバーにいるだけで\nメイジ系、ビショップ系、\nメイジアーマー系、魔法剣士系\nクラスの攻撃力+10％	只要在编队中就会生效\n法师、司祭、重装法师、\n魔法剑士的攻击力上升10％
全員のHPが徐々に回復（常時）\nスキル中は回復量が3倍に上昇	全员的HP缓慢回复\n技能中的回复量上升到3倍
出撃メンバーにいるだけで\n全ヘビーアーマー系クラスの\n攻撃力が7％上昇	只要在编队中就会生效\n全重装兵系的攻击力上升7％
アンデッドに対する攻撃力が\n<PA><SELF><R00>倍になる	对不死系的攻击力增加<PA><SELF><R00>倍
出撃メンバーにいるだけで\nボウライダー系、ワルキューレ系、\nペガサスライダー系、ドラゴン\nライダー系クラスのコスト-<OR><PT><00>	只要在编队中就会生效\n弓骑兵、女武神、天马骑兵、\n龙骑兵的COST-<OR><PT><00>
以下が各々10％の確率で発動\n・攻撃が1.8倍に上昇\n・攻撃を完全に無効化する	以下效果触发的概率各为10％\n1.8倍的暴击\完全无效化敌人的攻击
自身のＨＰが20％減少するが\nコスト-4	自身的HP减少20％\n出击COST-4
敵を一撃でしとめる確率が　\n上昇する	触发即死的几率上升
受けたダメージの20％と\n同じだけ味方のＨＰを回復する	根据受到伤害的数值，其20％转换为治疗量回复友军
出撃メンバーにいるだけで\nペガサスライダー系スキルの\n効果時間が20％増加	只要在编队中就会生效\n全天马系的技能持续时间增加20％
出撃メンバーにいるだけでエルフ\n(ハーフ、ダーク含)、ドワーフの\n出撃コスト-1	只要在编队中就会生效\n妖精与矮人属性的出击COST-1
出撃メンバーにいるだけで\nメイジ系、ビショップ系、\nメイジアーマー系、魔法剣士系\nクラスの攻撃力+5％	只要在编队中就会生效\n法师、司祭、重装法师、\n魔法剑士的攻击力上升5％
攻撃発生までの時間を\n常にわずかに短縮する	攻击等待时间略微短缩
攻撃発生後のスキを\n常にわずかに短縮する	攻击间隔略微短缩
出撃メンバーにいるだけで全ソル\nジャー系クラスのＨＰが15％上昇	只要在编队中就会生效\n全士兵系的HP上升15％
出撃メンバーにいるだけで全ソル\nジャー系クラスのＨＰが20％上昇\n配置中ソルジャー系ユニットが\n死亡した場合、撤退として扱う	只要在编队中就会生效\n全士兵系的HP上升20％\n仅在配置中、士兵系死亡视同撤退
防御力が上昇する	防御力上升
射程が短くなる代わりに\n攻撃力が上昇する	攻击力上升但降低射程
所持しているだけでプラチナ、\nゴールドアーマードロップ率+5％	只要持有便能增加白金桶、\n金桶5％的掉落率
所持しているだけでプラチナ、\nゴールドアーマードロップ率+8％\n自身の攻撃力が10％上昇 配置中\n全近接系ユニットの攻撃力+10％	只要持有便能增加白金桶、\n金桶8％的掉落率\n自身攻击力上升10％；仅在配置中、\n全近战单位的攻击力上升10％
出撃メンバーにいるだけで\n竜族（ドラゴンライダー系含）の\n攻撃力が7％上昇	只要在编队中就会生效\n全龙族（包括龙骑）的\n攻击上升7％
自身のトークンの所持数+3	自身TOKEN持有数+3
自身のＨＰが30％減少するが\n攻撃力と射程が上昇	自身HP减少30％\n攻击力与射程上升
出撃メンバーにいるだけで\nセーラー系スキルの\n効果時間が30％増加	只要在编队中就会生效\n全水手系的技能持续时间增加30％
出撃メンバーにいるだけで\nレアリティ：シルバーの\nスキル初回使用までの\n待ち時間を短縮	只要在编队中就会生效\n银稀有度单位的技能初动降低
10％の確率で多数のナイフを\n投げて攻撃する	10％的几率投出复数小刀
出撃メンバーにいるだけで\n全風水使い系クラスの性能上昇\n・攻撃力+5％\n・スキルの効果時間+20％	只要在编队中就会生效\n全风水使的攻击力+5％\n技能持续时间增加20％
自身のトークンの所持数+1	自身TOKEN持有数+1
出撃メンバーにいるだけで全ボウ\nライダー系クラスの性能上昇\n・攻撃力+5％\n・スキルの効果時間+20％	只要在编队中就会生效\n全弓骑兵的攻击力+5％\n技能持续时间增加20％
出撃メンバーにいるだけで\n全ペガサスライダー系クラスの\n攻撃力が7％上昇	只要在编队中就会生效\n全天马系的攻击力上升7％
一定確率で自分の周りの\n地上の敵全てを同時に攻撃する\n配置中モンク系ユニットが\n死亡した場合、撤退として扱う	一定几率对周身的地面敌人同时攻击\n仅在配置中、武僧系死亡视同撤退
メイジ：スキル効果時間+20％\nビショップ：攻撃力+7％\nサモナー：コスト-3\nエレメンタラー：攻撃力+5％	法师：技能持续时间+20％\n司祭：攻击力+7％\n召唤师：COST-3\n元素使：攻击力+5％
メイジ：スキル効果時間+30％\nビショップ：攻撃力+10％\nサモナー：コスト-4\nエレメンタラー：攻撃力+7％	法师：技能持续时间+30％\n司祭：攻击力+10％\n召唤师：COST-4\n元素使：攻击力+7％
出撃メンバーにいるだけで\n全ヒーラー系クラスの\n攻撃力が7％上昇	只要在编队中就会生效\n全治疗师的攻击力上升7％
出撃メンバーにいるだけで\n全員の出撃コストが2増加するが\n防御力が17％上昇	只要在编队中就会生效\n全员的出击COST+2\n防御上升17％
自身の出撃コストが2増加するが\n最大HP/攻撃力/防御力が\nそれぞれ10％ずつ上昇	自身出击COST+2\nHP、攻击、防御+10％
出撃メンバーにいるだけで\nソルジャー系、ヘビーアーマー系\nクラスの防御力+5％、魔法耐性+5	只要在编队中就会生效\n士兵、重装兵系的\n防御+5％、魔法耐性+5
配置中、味方全体の攻撃力と\n防御力が20％上昇	仅在配置中、我方全体的攻击、防御上升20％
自身が死亡または撤退した場合\n一定時間後に再出撃が可能	自身死亡视同撤退\n一定时间后可以再次出击
自身が死亡した時、周囲の敵に\nダメージを与え動きを止める\n自身が死亡または撤退した場合\n一定時間後に再出撃が可能	自身死亡时对周围敌人造成伤害\n与停止效果，并视同撤退\n一定时间后可以再次出击
出撃メンバーにいるだけで\n全ダークファイター系クラスの\n出撃コスト-2	只要在编队中就会生效\n全黑暗斗士系的出击COST-2
出撃メンバーにいるだけで\n全ダークファイター系クラスの\n・出撃コスト-2\n・スキルの効果時間+30％	只要在编队中就会生效\n全黑暗斗士系的出击COST-2\n技能持续时间增加30％
所持しているだけで\n聖霊を除くシルバーユニットの\nドロップ率が5％アップ	只要持有便能增加圣灵外的\n银单位5％的掉落率
所持しているだけで聖霊を除く\nシルバーユニットのドロップ率が\n6％アップ 敵を一撃でしとめる\n確率が上昇する	只要持有便能增加圣灵外的\n银单位6％的掉落率\n触发即死的几率上升
バンデット：最大HP+7％\nローグ：スキル効果時間+20％	山贼：HP+7％\n盗贼：技能持续时间+20％
バンデット：最大HP+7％\nローグ：スキル効果時間+20％\nパイレーツ：攻撃力+5％\nシーフ：コスト-1	山贼：HP+7％\n盗贼：技能持续时间+20％\n海贼：攻击力+5％\n小偷：COST-1
引退時に虹水晶を入手できる	引退时可以得到虹水晶
自身の出撃コスト-1\n配置中、生命の木および\n生命の神木の出撃コスト-1	自身的出击COST-1\n仅在配置中、生命之树及\n生命之神树的出击COST-1
出撃メンバーにいるだけで\nエルフ(ハーフ、ダーク含)と\nドワーフの防御力+5％\n魔法耐性+5	只要在编队中就会生效\n妖精与矮人属性的\防御力+5％、魔法耐性+5
配置中、魔法剣士系、メイジ\nアーマー系、メイジ系、\nビショップ系クラスの\n攻撃力と防御力が10％上昇	仅在配置中、魔法剑士、\n重装法师、法师、司祭的\n攻击力与防御力上升10％
配置中、神官戦士系クラスと\nヒーラー系クラスの攻撃力が\n10％上昇	仅在配置中、神官战士、\n治疗师的攻击力上升10％
50％の確率で攻撃後の\n硬直なしで次の攻撃を出す	50％的几率无视攻击后摇
10％の確率で攻撃力が2倍の\n攻撃を出す。スキル中は\n発動率が30％に上昇	攻击时有10％的几率\n触发2倍的暴击\n技能中触发率上升到30％
自身の出撃コスト+1\n攻撃と防御+10％、魔法耐性+10	自身的出击COST+1\n攻击、防御+10％、魔法耐性+10
出撃メンバーにいるだけで\n妖怪属性ユニットの出撃コスト+1\n攻撃と防御+10％、魔法耐性+10	只要在编队中就会生效\n妖怪属性的出击COST+1\n攻击、防御+10％、魔法耐性+10
自身が死亡した時\n撤退として扱い、周囲の敵に\nダメージを与え動きを止める\n魔界でも能力が低下しない	自身死亡时对周围敌人造成伤害\n与停止效果，并视同撤退\n在魔界也不会降低能力
配置中、ネクロマンサー系クラス\nおよびトークン、アンデッド属性\nユニットの攻撃力+15％	仅在配置中、亡灵巫师\n及其TOKEN、不死属性单位\n攻击力+15％
射程+30\n攻撃速度がやや低下	射程+30\n攻速略微降低
配置中、ゴーレムトークンの\n出撃コスト-5	仅在配置中\n魔像TOKEN的出击COST-5
配置中、セーラー系クラスと\nパイレーツ系クラスの\n出撃コスト-3	仅在配置中、水手、\n海贼系的出击COST-3
配置中のみ、全近接系ユニットの\n・攻撃力と防御力+10％\n・出撃コスト+5	仅在配置中\n全近战单位的攻击、防御+10％\n出击COST+5
出撃メンバーにいるだけで\nメイジアーマー系クラスの\nHP、攻撃、防御+5％	只要在编队中就会生效\n全重装法师系的HP、防御、攻击+5％
毒、状態異常を完全に無効化\nHPが0になっても撤退せず\n一定時間後にその場で復活	完全不受毒、状态异常的影响\nHP为0时也不会撤退\n会在一定时间后原地复活
スキル発動時に妖怪系の敵の\n動きを止める	技能发动时停止妖怪系敌人的行动
スキル発動時に妖怪系の敵の\n動きを止める。さらに妖怪系の敵に\n対して自身の攻撃力1.3倍	技能发动时停止妖怪系敌人的行动\n对妖怪的攻击力增加1.3倍
出撃メンバーにいるだけで\nヴァンパイアハンター系クラスの\n攻撃+7％	只要在编队中就会生效\n全吸血鬼猎人系的攻击力上升7％
出撃メンバーにいるだけで王子、\n皇帝、全プリンセス系クラスの\nHP+10％ 配置中のみ\n王子と皇帝の出撃コスト-9	只要在编队中就会生效\n王子、皇帝、全公主系的\nHP+10％；仅在配置中、\n王子和皇帝的出击COST-9
出撃メンバーにいるだけで王子、\n皇帝、全プリンセス系クラスの\nHP、攻撃、防御+10％ 配置中\nのみ王子と皇帝の出撃コスト-10	只要在编队中就会生效\n王子、皇帝、全公主系的\nHP、攻击、防御+10％；仅在配置中、\n王子和皇帝的出击COST-10
デーモンに対して攻撃力1.2倍	对恶魔的攻击力增加1.2倍
デーモンに対して攻撃力1.3倍	对恶魔的攻击力增加1.3倍
出撃メンバーにいるだけで帝国\n出身の味方ユニットの防御力+7％\nさらに配置中のみ5％の確率で\n味方へのダメージを無効化する	只要在编队中就会生效\n帝国属性单位的防御力+7％\n仅在配置中、有5％的几率\n让我方受到的伤害无效化
出撃メンバーにいるだけで\nエンジェル系クラスの毒、\n状態異常を完全に無効化し\n攻撃力+5％	只要在编队中就会生效\n天使系完全不受毒、状态异常\n的影响、攻击力+5％
自身に「ゴールドゲット！」の効果\nまた、出撃メンバーにいるだけで\n全員の「ゴールドゲット！」による\nゴールド獲得量を増加	除了自身拥有「取得金币！」\n的效果外、只要在编队中、\n全员「取得金币！」的金币\n取得量上升
配置中のみ、全サモナー系クラスの\n攻撃力+10％	仅在配置中、召唤师系攻击力+10％
クラス特性の効果を50％に強化\n出撃メンバーにいるだけでトークン\n以外の全ユニットの攻撃発生後の\nスキを常にわずかに短縮する	对敌人的减速效果增强到50％\n只要在编队中就会生效\nTOKEN以外的单位\n攻击后摇略微缩短
配置中のみ、全近接系ユニットの\n・攻撃力と防御力+13％\n・出撃コスト+5	仅在配置中\n全近战单位的攻击、防御+13％\n出击COST+5
特殊なトークンを使役可能\nトークン配置中に味方のＨＰが0に\nなると身代わりにトークンが撤退し\n対象の味方がHP最大で復活	可以使用特殊的TOKEN\nTOKEN配置中、代替我方HP为0的\n单位撤退、同时回复到最大HP
スキル中のみ\n遠距離攻撃の対象にならない	仅在技能持续中\n不会成为远程敌人的攻击目标
配置中のみ、パイレーツ系\n砲術士系、マーチャント系\nクラスの攻撃力+10％	仅在配置中、海贼、炮术士、\n商人的攻击力+10％
通常攻撃でまれに敵を一撃で\n倒すことができる。通常攻撃の\n速度がごくわずかに低下する。	攻击时低几率出现即死效果\n攻速降低
配置中のみ、魔物使い系トークンの\n・防御力1.5倍\n・出撃コスト-1	仅在配置中\n魔物使系TOKEN的防御1.5倍\n出击COST-1
配置中のみ、魔物使い系トークンの\n・防御力2倍\n・出撃コスト-2	仅在配置中\n魔物使系TOKEN的防御2倍\n出击COST-2
配置中ワルキューレ系ユニットが\n死亡した場合、撤退として扱う	仅在配置中、女武神死亡视同撤退
出撃メンバーにいるだけでワル\nキューレ/ペガサスライダー/ドラ\nゴンライダー系HP+15％ 配置中\n上記ユニット死亡時は撤退扱い	只要在编队中就会生效\n女武神、天马骑兵、龙骑兵系的\nHP+15％；仅在配置中、\n上述单位死亡视同撤退
出撃メンバーにいるだけで\n全くぐつ使い系クラスの\n攻撃力+5％	只要在编队中就会生效\n全傀儡使系的攻击力上升5％
自身の出撃コスト+4\n攻撃力+15％、射程+40	自身的出击COST+4\n攻击力+15％、射程+40
エンジェルに対して攻撃力1.5倍\n自身が死亡した時\n撤退として扱う	对天使的攻击力增加1.5倍\n自身死亡视同撤退
出撃メンバーにいるだけで\nウィッチ系、クロノウィッチ系\nクラスの出撃コスト-1	只要在编队中就会生效\n魔女、时魔女的出击COST-1
配置中のみ、セーラー系、\nパイレーツ系クラスの\n攻撃力+10％	仅在配置中、水手、海贼的攻击力+10％
出撃メンバーにいるだけで\n男性ユニット(トークン含まず）\nの防御+5％、魔法耐性+5	只要在编队中就会生效\n男性单位的防御+5％、魔法耐性+5\n(不包含token）
魔法耐性が上昇する	魔法耐性上升
配置中のみ、ドルイド系、\nレンジャー系、ワルキューレ系、\nボウライダー系クラスの\n攻撃力+10％	仅在配置中、德鲁伊、游侠、\n女武神、弓骑兵的攻击力+10％
自身の出撃コスト+2\n攻撃力+15％、射程+20	自身的出击COST+2\n攻击力+15％、射程+20
ゴブリンに対して攻撃力1.5倍	对哥布林的攻击力增加1.5倍
出撃メンバーにいるだけで\nレアリティ：シルバーの\nスキル初回使用までの待ち\n時間を短縮し、HP+5％	只要在编队中就会生效\n银稀有度单位的技能初动降低\nHP+5％
出撃メンバーにいるだけで\nロイヤルガード系、ワルキューレ系\nドラゴンライダー系、ペガサス\nライダー系クラスの攻撃防御+5％	只要在编队中就会生效\n皇家护卫、女武神、龙骑兵、\n天马骑兵的攻击、防御+5％
妖怪、デーモンに対しての\n攻撃力が1.2倍になる	对妖怪、恶魔的攻击力增加1.2倍
出撃メンバーにいるだけで\nエンジェル系クラスの出撃コスト-1\n配置中エンジェル系ユニットが\n死亡した場合、撤退として扱う	只要在编队中就会生效\n天使系的出击COST-1\n仅在配置中、天使系死亡视同撤退
魔法耐性が大幅に上昇する	魔法耐性大幅上升
全敵の防御力を30％減少し、\n味方全員のHPを徐々に回復\nするトークンを使役可能	可以配置减少全体敌人30％防御力\n并缓慢回复全员HP的TOKEN
自分とそっくりな\nトークンを使役可能\nトークンはフィールドに\n1体のみ配置可能	可以配置自身的镜像体\n场上只能同时存在一个
出撃メンバーにいるだけでトークン\n以外の全ユニットの攻撃発生後の\nスキを常にわずかに短縮する	只要在编队中就会生效\nTOKEN以外的单位\n攻击后摇略微缩短
配置中、レンジャー系トークンの\n攻撃力+10％	仅在配置中、游侠系TOKEN的攻击力+10％
出撃メンバーにいるだけで、魔法\n剣士系、メイジアーマー系クラスの\n出撃コスト-1 配置中上記ユニット\nが死亡した場合、撤退として扱う	只要在编队中就会生效\n魔法剑士、重装法师的出击COST-1\n仅在配置中、上述单位死亡视同撤退
スキル中に遠距離攻撃できる	技能中可以远距离攻击
配置中ヘビーアーマー系、ロイヤ\nルガード系クラスが死亡した\n場合、撤退として扱う	仅在配置中、重装兵、皇家护卫\n死亡视同撤退
配置中ヘビーアーマー系、ロイヤ\nルガード系クラスの攻撃力+5％\n防御力+10％上昇、上記ユニット\nが死亡した場合、撤退として扱う	仅在配置中、重装兵、皇家护卫\n攻击力+5％、防御力+10％\n死亡视同撤退
