
なし	无
鬼神力	鬼神力
魔砲弾	魔炮弹
妖狐覚醒	妖狐觉醒
ヒールシャワー	治疗之沐
鉄壁	铁壁
影縫い	影缝
隠密	隐匿
エクセレントソード	精确剑击
マルチアタック	多重攻击
猛将の鼓舞	猛将鼓舞
疾風の陣	疾风之阵
天落岩の計	天落岩之计
近接範囲攻撃化	近战范围攻击化
神銃ブリューナク	神枪・轰击五星
冥斧ファスケス	冥斧・法西斯
パッションステップ	热情之舞
全力サポート	全力支援
天剣ミカヅキムネチカ	天剑・三日月宗近
バトルヒールⅠ	战斗治疗Ⅰ
セイクリッドメイス	圣力权杖
ヒールエンハンス	治疗增幅
死霊強化	死灵强化
ファイアボール	火球术
氷結呪縛	冰结咒缚
一意専心	一意专心
真・暗黒オーラ	真・暗黑波动
滅多斬り	迅疾乱斩
最強暗黒オーラ	最强暗黑波动
オーバードライブ	魔力过载
スロウマジック	减速魔法
女王の祝福	女王的祝福
癒しの至宝	治愈之至宝
ファイアブレス	火焰吐息
イービルエナジー	邪恶能量
ダイナマイトパワー	爆碎重击
剛弦の弓	钢弦之弓
サンダーレイン	骤雨雷霆
バーストバレットⅡ	爆裂子弹Ⅱ
スピリットイーグル	灵鹫弩射
扇蝶の舞	扇蝶之舞
聖女の結界	圣女结界
怪力爆砕鉄球	怪力爆碎铁球
クインタプルショット	月神・五重箭
魔剣アンサラー	魔剑・斩旋战神之剑
死の旋風	死之旋风
コキュートス	悲叹・玄冰冥河
勝利のルーン	胜利之符文
忍法乱れ手裏剣	忍法手里剑乱击
魔弾タスラム	魔弹・魔眼贯穿
魔弾タスラム	魔弹・魔眼贯穿
魔弾タスラム	魔弹・魔眼贯穿
魔弾タスラム	魔弹・魔眼贯穿
魔弾タスラム	魔弹・魔眼贯穿
真神剣ティルフィング	真神剑・荣光不朽之剑
聖剣アルタキエラ	圣剑・疾闪之耀光
破邪滅殺の結界	破邪灭杀封印
聖天使封印解除	圣天使封印解除
超天落岩の計	超天落岩之计
撃滅の天翼	歼灭天翼
疾風迅雷	疾风迅雷
聖騎士の守護	圣骑士的守护
リミッターカット	魔力界限解除
真癒しの至宝	真治愈之至宝
大震撃	大震击
スピリットスナイプ	灵鹫狙射
スキルチェンジ	技能变更
ラッシュクロウ	黑鸦迅爪
神降ろし	神降凭依
神降ろし解除	神降凭依解除
ヒートブレス	灼热吐息
真・神降ろし	真・神降凭依
真・神降ろし解除	真・神降凭依解除
海神銃トリアイナ	海神枪・射杀三叉
ガトリングファイア	加特林火炮
ミリオンショット	百万射击
猛烈爆裂弾	猛烈爆裂弹
ライフルドマスケット	线膛燧发枪
輝剣クラウ・ソラス	辉剑・不灭威光
秘伝の丸薬	秘传药丸
燃命の秘薬	燃命秘药
スパイクシールド	尖刺护盾
フルガード	完美防御
新聖なる覚醒	新圣力觉醒
魔杖レヴァンテイン	魔杖・破灭灾厄
天杖レヴァンテイン	天杖・破灭终焉
スレッジハンマー	巨轰战锤
ジェットハンマー	喷气冲锤
滅多打ち	迅疾连打
真・フェニックス	召唤真・菲尼克斯
スパローショット	瞬影雀射
マルチショット	多重射击
東方弓殺術	东方弓杀术
クアドラショットβ	四重箭β
フルオート	全自动射击
アーバレスト	劲钢烈弩
マジックミサイル	魔箭飞弹
絶影	绝影
軟化の秘術	软化秘术
奥義　真空十字斬	奥义 真空十字斩
パンプアップ	聚气凝神
気功螺旋破	气功螺旋破
スピニングクロー	旋爪裂破
スピニングクロー	旋爪裂破
スピニングクロー	旋爪裂破
破撃の拳	破击之拳
護身の拳	护身之拳
援軍要請・オート	请求增援・自动
援軍要請・攻勢	请求增援・攻势
援軍要請・防勢	请求增援・守势
聖女の呼び声	圣女的号召
サンダーボルト	闪枪雷霆
ヒールマジックプラス	增幅治疗魔法
影月七連矢	影月七连矢
チェンジヒール	切换治疗
チェンジアタック	切换攻击
太陽の祈り	艳阳祈祷
エクスヒールマジック	极・治疗魔法
ヒールウィンド	治愈之风
明鏡止水	明镜止水
猛火の陣	猛火之阵
猛火の陣	猛火之阵
猛火の陣	猛火之阵
金城の陣	金城之阵
金城の陣	金城之阵
金城の陣	金城之阵
カースボイス	咒言之声
奥義　岩砕滅隆剣	奥义 岩碎灭隆剑
守護者の神盾	守护者神盾
魔法剣・暴走	魔法剑・暴走
ピアッシングソード	贯通剑击
ダブルスラッシュ	双闪剑击
エグゼスソード	极・剑刃附魔
援軍要請・撃滅	请求增援・歼灭
アサルトモード	突袭模式
アースアーマー	大地护铠
ファイアブリッツ	火球急袭
訓練用砲弾	训练用炮弹
クイックスペル	快速咏唱
重砲弾	重炮弹
ロケットパレード	导弹巡礼
尖鋭弾	尖锐弹
魔砲弾・拡	魔炮弹・扩
奥義　天破滅影剣	奥义 天破灭影剑
ヒールフォートレス	治愈要塞
真銀の輝き	真银之辉
ワンダーメイス	神迹权杖
ダークキュア	暗之治愈
炎竜の怒り	炎龙怒火
炎竜の静寂	炎龙静寂
ソードピストル	铳剑射击
フルスイング	聚劲裂地崩
聖霊友情アタック	圣灵友情攻击
ステップドライブ	突进步法
真・冥斧ファスケス	真・冥斧法西斯
超捨て身	超舍身攻击
大山賊時代	大山贼时代
魔槍ゲイボルグ	魔枪・刺穿死棘之枪
閃光玉	闪光球
ダモクレスの剣	达摩克利斯之剑
閃光玉	闪光球
閃光玉	闪光球
集中治癒	集中治愈
最後の切り札	最后的王牌
ファーストショット	先制射击
バーニングブラッド	咒血燃烧
聖なるオーラ	圣力波动
超滅多斬り	超迅疾乱斩
デスエナジー	死亡之力
残虐な天使	残虐天使
癒しの天使	治愈天使
奥義　天招流星剣	奥义 天招流星剑
マジックウェポン	武器附魔
イカロスウイング	伊卡洛斯之翼
イカロスウイング	伊卡洛斯之翼
イカロスウイング	伊卡洛斯之翼
真・イフリート	召唤真・伊芙利特
硬気功	硬气功
剛力活丹功	刚力活丹功
剛力活丹功	刚力活丹功
剛力活丹功	刚力活丹功
奥義　無双転神	奥义 无双转神
ワールウィンド	旋翼裂空击
クイックウイング	瞬翼裂空
ダイダロスウイング	代达罗斯之翼
ウイングチャージ	羽翼充能
我流操槍術・天輪撃	我流操枪术・天轮击
呪血の目覚め	咒血觉醒
死の予告状	死之预告
超暗殺	超暗杀
イービルフォース	邪恶之力
雷牙	雷牙
名剣グラバム	名剑・格拉班
優妹の祈り	优妹的祈祷
優妹の祈り	优妹的祈祷
優妹の祈り	优妹的祈祷
賢姉の祈り	贤姐的祈祷
賢姉の祈り	贤姐的祈祷
賢姉の祈り	贤姐的祈祷
ダブルヒール	二重治疗
憤怒の一撃	愤怒一击
クイックエリアヒール	快速区域治疗
恒星の杖	恒星之杖
ダークネスソウル	黑暗之魂
ブライトネスソウル	光明之魂
火尖槍	火尖枪
白百合の目覚め	白百合觉醒
黒槍重突進	黑枪重突进
真聖なる覚醒	真胜利觉醒
鉛槍トレーニング	铅枪训练
豪腕の槍騎兵	豪腕之枪骑兵
体力強化Ⅰ	体力强化Ⅰ
ペネトレータモード	贯通模式
バスターモード	爆裂模式
スキルブーストＭＡＸ	技能上升MAX
ランドスピン	裂地旋枪破
援軍要請・攻防	请求增援・攻防
堅鱗の癒し	坚鳞之治愈
鋭牙の火炎	锐牙之火炎
二重詠唱	二重咏唱
鬼神の刻	鬼神之刻
食い千切り	噬杀千刃斩
絶・暗黒オーラ	绝・暗黑波动
暗黒オーラ斬り	暗黑波动斩
神魔調伏の一刻	神魔降伏之刻
アイギスの神器	AIGIS之神器
神剣キャリバーン	神剑・胜利黄金之剑
聖剣アロンダイト	圣剑・无毁的湖光
聖剣アロンダイト	圣剑・无毁的湖光
竜殺しの投剣	龙杀之投剑
名剣フランベルク	名剑・铭匠焰形之剑
銘三条の初太刀	铭三条之首柄太刀
剛剣ガラティン	刚剑・轮转胜利之剑
真魔剣ティルフィング	真魔剑・汲血破灭之剑
急所狙い	命门狙杀
凶刃	凶刃
五月雨縫い	五月雨缝
特大閃光玉	特大闪光球
ライトニングハンマー	雷锤铁拳
怪力の軟膏	怪力膏药
真・扇蝶の舞	真・扇蝶之舞
徒手戦闘術	徒手格斗术
投剣戦闘術	投剑格斗术
無影	无影
レッグスナイプ	封足狙击
助けを呼ぶ	大声呼救
アンデッドマーチ	亡灵大行军
重殺イービルエナジー	重杀邪恶之力
聖なる鐘の守護	圣钟之守护
魔狼の咆哮	魔狼咆哮
虎伏堅盾の構え	虎伏坚盾之式
我流　真空剣	我流 真空剑
神速抜刀術	神速拔刀术
天華大輪斬	天华大轮斩
妖刀　村正真打	妖刀 村正真打
鬼降ろし	鬼降凭依
精魂奉納の儀	精魂奉纳秘仪
バリアブレイク	魔剑破障斩
ギガバリアブレイク	千兆魔剑破障斩
聖剣アルタキエラ	圣剑・疾闪之耀光
聖剣アルタキエラ	圣剑・疾闪之耀光
ウィッチーズタイム	魔女的时间
セイクリッドオーラ	神圣波动
ディバインオーラ	圣光波动
神槍ゲイボルグ	神枪・刺穿死棘之枪
ハイクイックスペル	高阶快速咏唱
火尖槍・焔玉	火尖枪・焰玉
山賊娘の底力	山贼女的底力
如意棒	如意棒
地霊降ろし	大地之灵凭依
地霊降ろし解除	大地之灵凭依解除
二柱祈祷	二柱祈祷
剛弦の極弓	刚弦极弓
聖なる鐘の奇跡	圣钟之奇迹
アローレイン	箭雨
大炎上	大炎上
秘呪・破術増命	秘咒・破术增命
カースソング	咒言魔音
乙女の挑発	少女的挑衅
鉄壁の挑発	铁壁之挑衅
カースオブデス	死亡咒言
魔剣ダーインスレイヴ	魔剑・无归血陨
邪剣ダーインスレイヴ	邪剑・无归血陨
ラストデスエナジー	终末死亡之力
エスカレートステップ	升华之舞
エスカレートステップ	升华之舞
エスカレートステップ	升华之舞
エンドレスワルツ	无尽的华尔兹
癒しの舞	愈合之舞
理力の剣	物理力之剑
性質変換の秘術	性质变化秘术
ユニゾンバレット	枪弹齐奏
アニメイトデッド	亡者苏生
アニメイトデッド	亡者苏生
アニメイトデッド	亡者苏生
堕天使の弓撃	堕天使弓击
神罰の天弓	神罚天弓
秘法　魔導加速の理	秘法 魔导加速之理
ドラゴンオーラ	龙力波动
ドラゴンサンダー	龙枪雷霆
ディノブースト	恐龙裂地破
エクスプロードブレス	爆裂吐息
真・氷結呪縛	真・冰结咒缚
白き魔女の宴	纯白魔女之宴
ルナティックソーン	狂乱荆刺
フリージングウェイブ	急冻激流
アサルトファミリア	使魔突击
極寒の聖夜	极寒圣夜
アヌビスの守護	阿努比斯的守护
不死鳥の一撃	不死鸟一击
大暴食	大暴食
ダークエルフの劇薬	暗精灵的猛毒
ダークエルフの秘薬	暗精灵的秘药
刻詠の業	刻咏之业
体力強化Ⅱ	体力强化Ⅱ
ハイパワーショット	蓄力强射
鎮圧用散弾	镇压用散弹
バーストピストル	爆裂铳射
涼やかな癒しの風	凉爽的治愈之风
エリアヒールプラス	增幅范围治疗
久遠の龍脈	久远的龙脉
ハンティングタイム	狩☆猎☆时☆间到!❤~
莫邪の宝剣	莫邪之宝剑
莫邪の退魔剣	莫邪之驱魔剑
真祖の血脈	真祖的血脉
ワイドエリアヒール	广范围治疗
宮廷槍斧術・守の型	宫廷枪斧术・守护型
宮廷槍斧術・攻守の型	宫廷枪斧术・攻守型
断罪の天使	断罪天使
妖狐大覚醒	妖狐大觉醒
霊刀　小狐丸	灵刀 小狐丸
八卦の陣	八卦之阵
アダマスの神器	Adamas之神器
神樹の稲妻	神树之雷
木々の目覚め	森林觉醒
八卦の陣・死門	八卦之阵・死门
サラマンダー	召唤・沙罗曼达
サラマンダー永続召喚	永续召唤・沙罗曼达
タフネスチャージ	气力积蓄
ドリアードの妖精弓	木仙女的妖精弓
シェイドの魔弓	木荫的魔弓
基本戦術・陣地防御	基本战术・阵地防御
基本戦術・反転攻勢	基本战术・反转攻势
応用戦術・堅守強攻	应用战术・坚守强攻
対竜弾	对龙弹
忍法・空蝉凄刀斬	忍法・空蝉凄刀斩
怪力の軟膏・持久型	怪力膏药・持久型
忍法・ヒナ分身の術	忍法・小雏分身术
忍術・極	忍术・极
魔獣炎操	魔兽炎操
魔獣獄炎操	魔兽狱炎操
がおがおコンボ	噶嗷噶嗷连弹
閃槍連撃	闪枪连击
神速極光槍	神速极光枪
マジックエンチャント	附魔魔法
スペアゴーレム	备用魔像
対デーモン速射弾	对恶魔速射弹
ヘッドバレル	头部火炮
ヘッドバレル・ダブル	头部火炮・二重
秘術　魔導共鳴増幅	秘术 魔导共鸣增幅
マジック☆シューター	魔法☆射手
インフェルノ	地狱业火
ダークネススフィア	黑炎火球
アンチマジックバリア	反魔法壁障
アクセルミラージュ	加速幻影
ナイトメアクロウ	暗鸦魇爪
ニアイモータル	临近不朽
刻詠の宿業	刻咏之宿业
ビッグキャノン	极重巨炮
暗黒超重力弾	暗黑超重力弹
如意棒・石猿	如意棒・石猿
タイムボム	时空爆弹
対オーク弾	对兽人弹
不可侵の神盾	不可侵之神盾
闇の解放	暗之解放
ステルスショット	隐匿射击
ステルスフルショット	隐匿全力射击
全力で助けを呼ぶ	全力大声呼救
アースグレイブ	大地葬墓
大地の怒り	大地之怒
ジャイアントキリング	巨兽灭杀
エターナルアロー	永恒箭矢
レインボーアロー	虹辉箭矢
パワーヒール	魔力治疗
エクスパワーヒール	极・魔力治疗
アシッドボム	酸性爆弹
ハイパーアシッドボム	极・酸腐蚀爆弹
エリクサー散布	灵药散布
プリズムミラージュ	棱镜虚像
プリズムシャドウ	棱镜幻影
勝利のルーン	胜利之符文
勝利のルーン	胜利之符文
傷返の呪言	返伤咒言
魔蝿の祝福	魔蝇的祝福
ブラッドマジック	鲜血附魔
禁術　鮮血の魔刃	禁术 鲜血魔刃
虎力招来	虎力招来
妖虎砲	妖虎炮
名槍ロン	名枪・未知真名的隆
聖槍ロンゴミニアド	圣枪・耀于至远之枪
体力強化Ⅲ	体力强化Ⅲ
エクスダークキュア	极・暗之治愈
鬼切	鬼切
鬼切の初太刀	鬼切之初太刀
樹縛の秘術	树缚之秘术
樹林繁栄の唄	树林繁荣之歌
オブトの毒針	死亡潜伏者毒针
魔槍ギルタブルル	魔枪・风与毒的冥途招引
神殺しの罪弓	弑神之罪弓
罪弓ミストルティン	罪弓・弑杀不意叛神
インペリアルヒールΩ	帝国治疗术Ω
スタンハンマー	晕眩重锤
インペリアルヒール	帝国治疗术
ストロングハンマー	气绝重锤
セカンドアウェイク	二次觉醒
火竜の炎陣	火龙炎阵
デモニックパワー	恶魔之力
エクスエンチャント	进阶附魔
ハイエンチャント	高阶附魔
拡散ギガブラスター	扩散千兆爆散	
轟雷掌	轰雷掌
ギガブラスターモード	千兆爆散模式
オートステップ	自律之舞
ラストダンス	终之舞
アンコールダンス	安可之舞
総大将の長ドス	总大将之长胁差
ハウリングキャノン	尖啸重炮
アーマーデシウス	重装迪希乌斯
暗黒魔法アビスヒール	暗黑魔法・深渊治疗
暗黒魔法ギガウーンズ	暗黑魔法・千兆溃殇
暗黒神降臨の儀	暗黑神降临之秘仪
ジャックランタンの杖	南瓜灯杖
ＭＡＸパンプキン	MAX南瓜灯
エレメントエンハンス	增幅元素之力
エクスバトルヒール	极・战斗治疗
ヒーリングスポット	治疗圣所
スキルブーストプラス	技能提升-必定成功
炎剣デュランダル	炎剑・不毁的圣剑
炎滅デュランダーナ	炎灭・不毁的极圣
対ゴブリン速射弾	对哥布林速射弹
ヒュドラの矢毒	九头蛇箭毒
マシーネンカノーネ	机械加农重炮
血の誓い	血之誓约
奥義　乱れ七連絶刀	奥义 乱斩七连绝刀
金剛鎌ハルパー	金刚镰・不死身杀手
アダマスの神鎌	Adamas神镰
帝国騎士の誓い	帝国骑士之誓言
アサルトショット	突袭射击
ファーストアサルト	先制突袭
防御射撃	防御射击
秘奥義　不動七連絶刀	秘奥义 不动七连绝刀
援軍メガホン	援军呼叫扩音器
ヘルプ＆ファイア	呼救&开火
フラッシュヒール	神速治疗
フルフラッシュヒール	神速全力治疗
スナイプモード	狙杀模式
対オーク三連弾	对兽人三连弹
対ゴブリン速射爆裂弾	对哥布林速射爆裂弹
ドラゴンスマッシャー	龙灭狙击
狂鬼	狂鬼
羅生門	罗生门
デモニックフィールド	恶魔结界
シュツルムカノーネ	突袭加农重炮
全力バカンス	专心度假
究極サポート	究极支援
寝正月の蓄え	新春安眠的准备
封妖の弓	封妖之弓
破邪封妖の霊弓	破邪封妖之灵弓
戦場の死神	战场的死神
ドラゴンキャノン	龙息重炮
天狗の大団扇	天狗的大团扇
対妖怪弾	对妖怪弹
天狗流妖滅十匁玉	天狗流妖灭十文玉
草薙の剣	草薙剑
魔剣フルンティング	魔剑・赤原猎犬
吸血剣フルンティング	吸血剑・赤原猎犬
吸血剣フルンティング	吸血剑・赤原猎犬
吸血剣フルンティング	吸血剑・赤原猎犬
武具鍛錬	武具锻炼
１００％パワー解放	100%力量解放
魔眼解放	魔眼解放
不可侵の紅眼	不可侵之红眼
不意打ち	闪影偷袭
恨み猫三味線	猫怨三味线
ホーリーフィールド	圣力结界
ディバインフィールド	神圣结界
黒き魔獣の復讐	漆黑魔兽之复仇
魔獣旋撃	魔兽旋击
天雷招来	天雷招来
吸魂の邪鬼珠	吸魂之邪鬼珠
秘奥義　天墜十字斬	秘奥义 天堕十字斩
秘奥義　堅岩転身法	秘奥义 坚岩转身法
秘奥義　無明完殺剣	秘奥义 无明完杀剑
秘奥義　真天招流星剣	秘奥义 真天招流星剑
古代龍の逆鱗	古代龙的逆鳞
神威轟水波	神威轰水波
奇術 大脱出	奇术 大逃脱
ブリッツクリーク	帝国闪电战
シュツルムアングリフ	帝国突袭战
一尾の解放	一尾解放
三尾の解放	三尾解放
五尾の解放	五尾解放
七尾の解放	七尾解放
九尾の解放	九尾解放
深森の重縛	深森重缚
士気高揚	士气高昂
エターナルブレイク	永恒破灭
スターバースト	凄煌星爆
ダークプロテクション	黑暗壁障
暗黒神の断罪	暗黑神之断罪
総大将の長ドス・影打	总大将之长胁差・影打
退魔守護霊符【弱】	退魔守护灵符【弱】
退魔守護霊符【強】	退魔守护灵符【强】
闇竜の憤怒	暗龙之愤怒
白竜の陣備え	白龙之备阵
鬼首落とし	恶鬼斩首
不滅の妖怪仁義	不灭的妖怪仁义
ステップラッシュ	疾驰步法
アイアンフィスト	铁拳轰杀
ダブルフレイム	二重火炎
聖銀竜の牙槍	圣银龙之牙枪
聖銀竜の鱗	圣银龙之鳞
聖銀竜の血	圣银龙之血
滅びの聖炎	陨灭圣炎
魔力集中	魔力集中
降雷	降雷
封印剣ミョルニル	封印剑・击碎万物的雷神之槌
対聖魔弾	对圣魔弹
聖魔殲滅弾ラグナレク	圣魔歼灭弹・诸神之黄昏
バトルプロテクション	战斗守护壁障
ゴッドプロテクション	神迹守护壁障
ハッスルソング	督促喧歌
スーパータイムボム	超时空爆弹
タイムストップ	时空静止
旋風	旋风
魅惑の舞	魅惑之舞
不可侵の神事舞	不可侵的神事舞
猛虎旋撃	猛虎旋击
五万騎全殲滅の構え	五万骑全数歼灭之式
智将の矢計	智将的箭雨之计
十六翼将の矢計	十六翼将的箭雨之计
カーヒーナの弓術	女神官的弓术
カーヒーナの武射	女神官的武射
征馬は孤影ならず	王道征途并非孤影前行
フライトモード	空袭模式
ガンシップモード	炮击模式
援軍要請・浴衣	请求增援・浴衣
王国音頭	王国音头
奥義　無双剛烈斬	奥义 无双刚烈斩
秘奥義　活心増命法	奥义 活心增命法
サヨスキル	变身之术
サヨ覚醒スキル	变身之术・改
一斉射撃	一齐射击
大口径連装艦砲射撃	大口径连装舰炮射击
恨み猫三味線・凶殺	猫怨三味线・凶杀
